,Unnamed: 0,tweet,created_at (after trading hours),Same day stock closing price,Next day stock open price,Daily change,polarity
87,87,"['incredibly', 'proud', 'gm', 'partnership', 'w', 'girlswhocode', 'empower', 'girl', 'become', 'next', 'generation', 'stem', 'leader']",2017-01-12 20:40:38+00:00,37.51,37.55,0.11%,0.4
88,88,"['look', 'great', 'steve', 'congratulation']",2017-01-04 17:29:18+00:00,37.09,37.01,-0.22%,0.8
89,89,"['thrill', 'announce', 'produce', 'test', 'autonomous', 'vehicle', 'michigan', 'this', 'future', 'mobility']",2016-12-15 21:01:27+00:00,36.24,36.4,0.44%,0.2
90,90,"['thanks', 'detroitnews', 'terrific', 'even', 'celebrate', 'michiganians2016', 'year', 'i', 'honor', 'include']",2016-12-01 17:04:57+00:00,36.43,36.25,-0.49%,0.1
91,91,"['kt', 'neumann', 'autobild', 'thank', 'terrific', 'even', 'great', 'honor', 'accept', 'behalf', 'gm', 'opel', 'team']",2016-11-08 20:49:44+00:00,31.73,30.91,-2.58%,0.4
92,92,"['congrats', 'great', 'coach', 'pat', 'russo', 'ft', 'outstanding', 'director', 'award', 'you', 'certainly', 'deserve', 'prestigious', 'honor']",2016-11-03 22:55:22+00:00,31.07,31.0,-0.23%,0.5047619047619047
93,93,"['every', 'business', 'play', 'role', 'global', 'energy', 'consumption', 'bring', 'clean', 'energy', 'mainstream', 'responsibility', 'eager', 'tackle', 'gm']",2016-10-18 18:52:55+00:00,31.4,31.54,0.45%,0.18333333333333335
94,94,"['our', 'onstar', 'team', 'enthusiasm', 'contagious', 'dreamforce', 'glad', 'i', 'able', 'stop', 'df16']",2016-10-06 22:11:34+00:00,32.53,32.5,-0.09%,0.5
95,95,"['the', 'community', 'live', 'amp', 'work', 'matter', 'i', 'proud', 'gm', 'establish', '100', 'renewable', 'energy', 'goal']",2016-09-14 23:43:18+00:00,30.71,30.75,0.13%,0.4681818181818182
96,96,"['congrats', 'evp', 'global', 'manufacturing', 'alicia', 'boler', 'davis', 'great', 'leader', 'key', 'role', 'recognize', 'fortune']",2016-09-08 19:43:33+00:00,31.71,31.44,-0.85%,0.26666666666666666
97,97,"['excited', 'hear', 'chevy', 'boltev', 'stevewoz', 'glad', 'like', 'much']",2016-09-07 20:58:25+00:00,31.89,31.85,-0.13%,0.35833333333333334
98,98,"['wonderful', 'see', 'many', 'gm', 'employee', 'come', 'help', 'transform', 'cody', 'rouge', 'week', 'teamgmcares']",2016-08-18 18:06:18+00:00,31.55,31.48,-0.22%,0.75
99,99,"['great', 'car', 'great', 'people', 'i', 'wait', 'woodward', 'weekend']",2016-08-15 16:37:46+00:00,31.86,31.81,-0.16%,0.8
100,100,"['a', 'good', 'read', 'cruise', 'amp', 'gm', 'future', 'personal', 'mobility']",2016-08-11 18:38:54+00:00,31.75,31.6,-0.47%,0.2333333333333333
101,101,"['best', 'part', 'yesterday', 'safety', 'video', 'tap', 'meeting', 'employee', 'd', 'ham', 'pontiac', 'lake', 'orion', 'plant']",2016-07-21 20:14:00+00:00,32.03,32.1,0.22%,1.0
102,102,"['on', 'thursday', 'i', 'talk', 'gm', 'career', 'intern', 'look', 'forward', 'meet', 'intern', 'week']",2016-07-18 16:53:42+00:00,30.87,30.7,-0.55%,0.0
103,103,"['here', '50']",2016-07-11 21:11:07+00:00,30.13,30.45,1.06%,0.0
104,104,"['good', 'meet', 'inaugural', 'gm', 'take', '2', 'intern', 'talented', 'group', 'experience', 'engineer']",2016-06-21 22:41:17+00:00,29.51,29.34,-0.58%,0.7
105,105,"['stanfordrock', 'stanfordlaw', 'it', 'great', 'today', 'enjoy', 'remainder', 'conference']",2016-06-20 21:21:18+00:00,29.65,29.64,-0.03%,0.6000000000000001
106,106,"['thanks', 'sdadich', 'lively', 'chat', 'boltev', 'autonomous', 'car', 'amp', 'future', 'mobility', 'wiredbizcon']",2016-06-16 23:28:49+00:00,29.02,29.14,0.41%,0.18409090909090908
